id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price_per_sqft,house_age,is_renovated,years_since_renovation,total_rooms,living_lot_ratio,has_basement,price_category,decade_built
7129300520,20141013T000000,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,188.05084745762713,60,0,60,4.0,0.2088495575221239,0,Budget (<$250K),1950
6414100192,20141209T000000,538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,209.3385214007782,64,1,24,5.25,0.3548743441038387,1,Mid-High ($500K-$750K),1950
5631500400,20150225T000000,180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062,233.76623376623377,82,0,82,3.0,0.077,0,Budget (<$250K),1930
2487200875,20141209T000000,604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,308.16326530612247,50,0,50,7.0,0.392,1,Mid-High ($500K-$750K),1960
1954400510,20150218T000000,510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,303.57142857142856,28,0,28,5.0,0.2079207920792079,0,Mid-High ($500K-$750K),1980
7237550310,20140512T000000,1225000.0,4,4.5,5420,101930,1.0,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930,226.01476014760146,14,0,14,8.5,0.05317374668890415,1,Luxury (>$1M),2000
1321400060,20140627T000000,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,150.14577259475217,20,0,20,5.25,0.2515031529549787,0,Moderate ($250K-$500K),1990
2008000270,20150115T000000,291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,275.3301886792453,52,0,52,4.5,0.10915456698589229,0,Moderate ($250K-$500K),1960
2414600126,20150415T000000,229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,128.93258426966293,55,0,55,4.0,0.23828647925033467,1,Budget (<$250K),1960
3793500160,20150312T000000,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,170.8994708994709,12,0,12,5.5,0.28810975609756095,0,Moderate ($250K-$500K),2000
1736800520,20150403T000000,662500.0,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925,186.09550561797752,50,0,50,5.5,0.3634136382196815,1,Mid-High ($500K-$750K),1960
9212900260,20140527T000000,468000.0,2,1.0,1160,6000,1.0,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,403.44827586206895,73,0,73,3.0,0.19333333333333333,1,Moderate ($250K-$500K),1940
114101516,20140528T000000,310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,216.78321678321677,88,0,88,4.0,0.07185568564393749,0,Moderate ($250K-$500K),1920
6054650070,20141007T000000,400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,291.97080291970804,38,0,38,4.75,0.1415289256198347,0,Moderate ($250K-$500K),1970
1175000570,20150312T000000,530000.0,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850,292.81767955801104,115,0,115,7.0,0.3731958762886598,0,Mid-High ($500K-$750K),1900
9297300055,20150124T000000,650000.0,4,3.0,2950,5000,2.0,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000,220.33898305084745,36,0,36,7.0,0.59,1,Mid-High ($500K-$750K),1970
1875500060,20140731T000000,395000.0,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,208.994708994709,21,0,21,5.0,0.1346153846153846,0,Moderate ($250K-$500K),1990
6865200140,20140529T000000,485000.0,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300,303.125,99,0,99,5.0,0.37209302325581395,0,Moderate ($250K-$500K),1910
16000397,20141205T000000,189000.0,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,157.5,94,0,94,3.0,0.1218274111675127,0,Budget (<$250K),1920
7983200060,20150424T000000,230000.0,3,1.0,1250,9774,1.0,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,184.0,46,0,46,4.0,0.127890321260487,0,Budget (<$250K),1960
